date,nav,benchmark
2024-11-27,11756998.22,32.13
2024-11-28,11765275.78,32.26
2024-11-29,11782180.84,32.32
2024-12-02,11807778.07,32.555
2024-12-03,11801589.41,32.505
2024-12-04,11832978.72,32.6
2024-12-05,11792036.76,32.61
2024-12-06,11824136.17,32.575
2024-12-09,11772502.63,32.57
2024-12-10,11772052.56,32.6
2024-12-11,11822211.98,32.66
2024-12-12,11798730.25,32.615
2024-12-13,11776267.21,32.455
2024-12-16,11793355.3,32.48
2024-12-17,11760190.32,32.435
2024-12-18,11731205.44,32.395
2024-12-19,11649775.5,32.06
2024-12-20,11651902.83,32.135
2024-12-23,11626850.11,32.095
2024-12-24,11656098.51,32.095
2024-12-25,11660639.79,32.095
2024-12-26,11633584.73,32.095
2024-12-27,11639532.29,32.155
2024-12-30,11604664.7,31.96
2024-12-31,11621425.14,31.96
2025-01-01,11628253.36,31.96
2025-01-02,11728395.6,32.315
2025-01-03,11721071.28,32.205
2025-01-06,11757372.54,32.36
2025-01-07,11705996.5,32.15
2025-01-08,11675386.8,32.14
2025-01-09,11678670.33,32.115
2025-01-10,11659479.53,31.925
2025-01-13,11633588.4,31.825
2025-01-14,11632828.01,31.835
2025-01-15,11733935.74,32.2
2025-01-16,11732036.39,32.27
2025-01-17,11797295.15,32.465
2025-01-20,11735460.33,32.39
2025-01-21,11793541.09,32.415
2025-01-22,11792140.16,32.535
2025-01-23,11802474.74,32.56
2025-01-24,11798018.02,32.455
2025-01-27,11721083.14,32.2
2025-01-28,11746447.26,32.415
2025-01-29,11788230.54,32.53
2025-01-30,11836417.07,32.625
2025-01-31,11862964.45,32.825
2025-02-03,11841791.12,32.69
2025-02-04,11792783.93,32.705
2025-02-05,11781341.4,32.65
2025-02-06,11804973.78,32.9
2025-02-07,11792553.95,32.85
2025-02-10,11836340.83,33.0
2025-02-11,11817937.68,32.905
2025-02-12,11823245.36,32.72
2025-02-13,11831443.23,32.81
2025-02-14,11816127.08,32.86
2025-02-17,11818270.98,32.915
2025-02-18,11826849.61,32.95
2025-02-19,11825976.54,32.93
2025-02-20,11811881.15,32.74
2025-02-21,11807443.16,32.885
2025-02-24,11734445.8,32.695
2025-02-25,11671964.54,32.4
2025-02-26,11674474.25,32.705
2025-02-27,11645871.52,32.715
2025-02-28,11605161.67,32.515
2025-03-03,11612183.96,32.545
2025-03-04,11525676.74,32.02
2025-03-05,11512583.03,31.63
2025-03-06,11478108.24,31.585
2025-03-07,11406593.75,31.355
2025-03-10,11348833.44,31.27
2025-03-11,11292731.13,30.84
2025-03-12,11309040.9,31.005
2025-03-13,11271083.65,30.95
2025-03-14,11338734.74,31.085
2025-03-17,11370808.82,31.3
2025-03-18,11377145.38,31.165
2025-03-19,11438133.32,31.365
2025-03-20,11424034.69,31.46
2025-03-21,11386298.15,31.375
2025-03-24,11449455.52,31.61
2025-03-25,11450318.31,31.69
2025-03-26,11424401.16,31.595
2025-03-27,11421375.31,31.495
2025-03-28,11351145.17,31.135
2025-03-31,11299913.19,31.045
2025-04-01,11350110.67,31.33
2025-04-02,11329135.08,31.23
2025-04-03,11142710.12,30.435
2025-04-04,10957508.67,29.74
2025-04-07,10769696.44,29.01
2025-04-08,10829702.47,29.535
2025-04-09,10752700.32,28.695
2025-04-10,10865613.9,29.37
2025-04-11,10859416.87,29.045
2025-04-14,10955565.13,29.69
2025-04-15,11003349.33,29.925
2025-04-16,10967132.6,29.7
2025-04-17,10947664.73,29.555
2025-04-18,10945050.11,29.555
2025-04-21,10948007.86,29.555
2025-04-22,10985676.5,29.44
2025-04-23,11116182.93,30.015
2025-04-24,11152514.27,30.145
2025-04-25,11156330.73,30.205
2025-04-28,11185764.07,30.225
2025-04-29,11198947.68,30.395
2025-04-30,11212906.54,30.435
2025-05-01,11238006.23,30.435
2025-05-02,11347309.33,30.835
2025-05-05,11353464.43,30.905
2025-05-06,11361943.41,30.775
2025-05-07,11346937.08,30.675
2025-05-08,11462362.92,30.96
2025-05-09,11470904.33,30.935
2025-05-12,11608540.13,31.515
2025-05-13,11603583.87,31.65
2025-05-14,11484502.53,31.55
2025-05-15,11494919.55,31.68
2025-05-16,11526982.62,31.795
2025-05-19,11514938.88,31.665
2025-05-20,11555130.18,31.71
2025-05-21,11501665.44,31.55
2025-05-22,11464979.81,31.4
2025-05-23,11417416.85,31.205
2025-05-26,11469156.31,31.4
2025-05-27,11521357.87,31.58
2025-05-28,11519930.75,31.585
2025-05-29,11478060.4,31.535
2025-05-30,11451169.27,31.515
2025-06-02,11442906.83,31.4
2025-06-03,11493606.55,31.675
2025-06-04,11505742.11,31.645
2025-06-05,11478730.99,31.685
2025-06-06,11515386.79,31.77
2025-06-09,11585312.76,31.75
2025-06-10,11584952.25,31.8
2025-06-11,11559294.4,31.82
2025-06-12,11482736.51,31.685
2025-06-13,11452675.39,31.585
2025-06-16,11491678.3,31.675
2025-06-17,11479950.46,31.61
2025-06-18,11483862.23,31.635
2025-06-19,11434332.64,31.415
2025-06-20,11437269.14,31.47
2025-06-23,11431264.64,31.47
2025-06-24,11482632.43,31.71
2025-06-25,11466242.59,31.675
2025-06-26,11490659.28,31.685
2025-06-27,11538329.36,31.795
2025-06-30,11519860.92,31.765
2025-07-01,11527618.07,31.82
2025-07-02,11544202.59,31.815
2025-07-03,11576887.47,31.96
2025-07-04,11534923.99,31.85
2025-07-07,11542921.58,31.92
2025-07-08,11552288.42,31.87
2025-07-09,11578849.25,31.92
2025-07-10,11664495.21,32.05
2025-07-11,11642679.99,31.865
2025-07-14,11662819.36,31.925
2025-07-15,11673607.47,32.07
2025-07-16,11629758.73,31.8
2025-07-17,11712865.98,32.16
2025-07-18,11722342.59,32.115
2025-07-21,11719440.44,32.19
2025-07-22,11727787.81,32.08
2025-07-23,11774565.82,32.21
2025-07-24,11772107.39,32.235
2025-07-25,11762103.35,32.255
2025-07-28,11787058.84,32.455
2025-07-29,11796819.35,32.58
2025-07-30,11797999.08,32.635
2025-07-31,11752602.55,32.615
2025-08-01,11620761.96,32.185
2025-08-04,11684232.32,32.4
2025-08-05,11687927.83,32.4
2025-08-06,11693922.91,32.355
2025-08-07,11722719.01,32.495
2025-08-08,11733728.63,32.52
2025-08-11,11745477.49,32.615
2025-08-12,11763802.71,32.585
2025-08-13,11805985.31,32.61
2025-08-14,11783384.98,32.69
2025-08-15,11774150.39,32.585
2025-08-18,11772191.73,32.685
2025-08-19,11756326.35,32.685
2025-08-20,11756827.97,32.625
2025-08-21,11757659.47,32.615
2025-08-22,11852664.22,32.72
2025-08-25,11806175.29,32.735
2025-08-26,11815869.24,32.71
2025-08-27,11825581.54,32.81
2025-08-28,11842678.69,32.86
2025-08-29,11798167.86,32.645
2025-09-01,11816524.54,32.72
2025-09-02,11771165.58,32.515
2025-09-03,11802037.52,32.67
2025-09-04,11808362.74,32.77
2025-09-05,11819307.88,32.775
2025-09-08,11852699.65,32.935
2025-09-09,11854236.95,32.895
2025-09-10,11865613.03,33.035
2025-09-11,11909151.76,33.215
2025-09-12,11917820.18,33.205
2025-09-15,11945864.73,33.145
2025-09-16,11958675.73,33.115
